
i,N,M,t,
2,50,1425,0.003555,
1,77,5000,0.000000,
2,77,5000,0.034667,
1,50,1437,0.000532,
2,50,1437,0.003704,
1,79,5000,0.003003,
2,79,5000,0.036376,
1,50,1450,0.000551,
2,50,1450,0.003775,
1,80,5000,0.003044,
2,80,5000,0.038309,
1,50,1462,0.000553,
2,50,1462,0.003795,
1,81,5000,0.003075,
2,81,5000,0.039347,
1,50,1474,0.000552,
2,50,1474,0.003715,
1,83,5000,0.003161,
2,83,5000,0.040207,
1,50,1486,0.000575,
2,50,1486,0.003940,
1,84,5000,0.003196,
2,84,5000,0.040756,
1,50,1499,0.000564,
2,50,1499,0.003857,
1,85,5000,0.003231,
2,85,5000,0.044022,
1,50,1511,0.000572,
2,50,1511,0.003919,
1,87,5000,0.000000,
2,87,5000,0.043855,
1,50,1523,0.000579,
2,50,1523,0.004016,
1,88,5000,0.003328,
2,88,5000,0.045409,
1,50,1536,0.000569,
2,50,1536,0.004020,
1,89,5000,0.003448,
2,89,5000,0.045749,
1,50,1548,0.000583,
2,50,1548,0.004038,
1,91,5000,0.003478,
2,91,5000,0.048705,
1,50,1560,0.000586,
2,50,1560,0.004182,
1,92,5000,0.003484,
2,92,5000,0.049308,
1,50,1572,0.000606,
2,50,1572,0.004056,
1,93,5000,0.003527,
2,93,5000,0.050223,
1,50,1585,0.000592,
2,50,1585,0.004034,
1,95,5000,0.003595,
2,95,5000,0.052939,
1,50,1597,0.000597,
2,50,1597,0.003978,
1,96,5000,0.003685,
2,96,5000,0.050261,
1,50,1609,0.000614,
2,50,1609,0.004176,
1,97,5000,0.003774,
2,97,5000,0.054847,
1,50,1621,0.000628,
2,50,1621,0.004304,
1,99,5000,0.003822,
2,99,5000,0.055560,
1,50,1634,0.000632,
2,50,1634,0.004288,
1,100,5000,0.003784,
2,100,5000,0.058319,
1,50,1646,0.000616,
2,50,1646,0.004270,
1,101,5000,0.003814,
2,101,5000,0.058129,
1,50,1658,0.000707,
2,50,1658,0.004340,
1,103,5000,0.003891,
2,103,5000,0.059991,
1,50,1670,0.000646,
2,50,1670,0.004504,
1,104,5000,0.003989,
2,104,5000,0.061037,
1,50,1683,0.000648,
2,50,1683,0.004508,
1,105,5000,0.000084,
2,105,5000,0.063735,
1,50,1695,0.000654,
2,50,1695,0.004548,
1,107,5000,0.000217,
2,107,5000,0.064913,
1,50,1707,0.000631,
2,50,1707,0.004582,
1,108,5000,0.000170,
2,108,5000,0.066134,
1,50,1720,0.000726,
2,50,1720,0.004648,
1,109,5000,0.004214,
2,109,5000,0.066027,
1,50,1732,0.000651,
2,50,1732,0.004715,
1,110,5000,0.000216,
2,110,5000,0.069184,
1,50,1744,0.000671,
2,50,1744,0.004805,
1,112,5000,0.004234,
2,112,5000,0.070466,
1,50,1756,0.000686,
2,50,1756,0.004719,
1,113,5000,0.004360,
2,113,5000,0.066676,
1,50,1769,0.000662,
2,50,1769,0.004896,
1,114,5000,0.004293,
2,114,5000,0.071764,
1,50,1781,0.000681,
2,50,1781,0.004946,
1,116,5000,0.004408,
2,116,5000,0.075200,
1,50,1793,0.000696,
2,50,1793,0.004963,
1,117,5000,0.004487,
2,117,5000,0.075509,
1,50,1805,0.000697,
2,50,1805,0.004920,
1,118,5000,0.004597,
2,118,5000,0.077399,
1,50,1818,0.000682,
2,50,1818,0.005046,
1,120,5000,0.004631,
2,120,5000,0.080640,
1,50,1830,0.000695,
2,50,1830,0.005078,
1,121,5000,0.004630,
2,121,5000,0.082100,
1,50,1842,0.000716,
2,50,1842,0.005085,
1,122,5000,0.004730,
2,122,5000,0.081381,
1,50,1854,0.000703,
2,50,1854,0.005286,
1,124,5000,0.004743,
2,124,5000,0.082618,
1,50,1867,0.000703,
2,50,1867,0.005054,
