
i,N,M,t,
1,360,5000,0.011233,
2,360,5000,0.548191,
1,50,4062,0.001622,
2,50,4062,0.014168,
1,361,5000,0.015200,
2,361,5000,0.538861,
1,50,4075,0.000000,
2,50,4075,0.011792,
1,363,5000,0.007078,
2,363,5000,0.541543,
1,50,4087,0.001619,
2,50,4087,0.014338,
1,364,5000,0.014950,
2,364,5000,0.550865,
1,50,4099,0.001685,
2,50,4099,0.010296,
1,365,5000,0.010954,
2,365,5000,0.554473,
1,50,4112,0.001700,
2,50,4112,0.014332,
1,367,5000,0.011096,
2,367,5000,0.567037,
1,50,4124,0.001759,
2,50,4124,0.010619,
1,368,5000,0.015104,
2,368,5000,0.566530,
1,50,4136,0.001659,
2,50,4136,0.014423,
1,369,5000,0.015202,
2,369,5000,0.566507,
1,50,4148,0.001698,
2,50,4148,0.014506,
1,371,5000,0.015186,
2,371,5000,0.580895,
1,50,4161,0.001737,
2,50,4161,0.014652,
1,372,5000,0.007353,
2,372,5000,0.592188,
1,50,4173,0.000000,
2,50,4173,0.012728,
1,373,5000,0.007409,
2,373,5000,0.594500,
1,50,4185,0.001717,
2,50,4185,0.014422,
1,374,5000,0.015639,
2,374,5000,0.581730,
1,50,4197,0.001741,
2,50,4197,0.014951,
1,376,5000,0.011565,
2,376,5000,0.583154,
1,50,4210,0.001792,
2,50,4210,0.014693,
1,377,5000,0.015618,
2,377,5000,0.590447,
1,50,4222,0.001727,
2,50,4222,0.015550,
1,378,5000,0.011589,
2,378,5000,0.597726,
1,50,4234,0.001680,
2,50,4234,0.014805,
1,380,5000,0.011761,
2,380,5000,0.610249,
1,50,4246,0.001719,
2,50,4246,0.014924,
1,381,5000,0.008935,
2,381,5000,0.630906,
1,50,4259,0.001814,
2,50,4259,0.016227,
1,382,5000,0.016677,
2,382,5000,0.617951,
1,50,4271,0.001810,
2,50,4271,0.015566,
1,384,5000,0.012464,
2,384,5000,0.617599,
1,50,4283,0.001811,
2,50,4283,0.015974,
1,385,5000,0.012829,
2,385,5000,0.651962,
1,50,4296,0.001912,
2,50,4296,0.015987,
1,386,5000,0.013459,
2,386,5000,0.656948,
1,50,4308,0.001918,
2,50,4308,0.016087,
1,388,5000,0.012861,
2,388,5000,0.658335,
1,50,4320,0.001837,
2,50,4320,0.016101,
1,389,5000,0.017136,
2,389,5000,0.642270,
1,50,4332,0.001789,
2,50,4332,0.015984,
1,390,5000,0.016870,
2,390,5000,0.646318,
1,50,4345,0.001920,
2,50,4345,0.016096,
1,392,5000,0.017074,
2,392,5000,0.642322,
1,50,4357,0.001749,
2,50,4357,0.015996,
1,393,5000,0.016749,
2,393,5000,0.679166,
1,50,4369,0.001861,
2,50,4369,0.016381,
1,394,5000,0.013231,
2,394,5000,0.648750,
1,50,4381,0.001826,
2,50,4381,0.016284,
1,396,5000,0.017014,
2,396,5000,0.683746,
1,50,4394,0.001824,
2,50,4394,0.016319,
1,397,5000,0.017261,
2,397,5000,0.718205,
1,50,4406,0.001883,
2,50,4406,0.016592,
1,398,5000,0.017500,
2,398,5000,0.655060,
1,50,4418,0.001848,
2,50,4418,0.016512,
1,400,5000,0.017012,
2,400,5000,0.671001,
1,50,4430,0.001834,
2,50,4430,0.015605,
1,401,5000,0.017204,
2,401,5000,0.662026,
1,50,4443,0.001839,
2,50,4443,0.016079,
1,402,5000,0.013232,
2,402,5000,0.662197,
1,50,4455,0.001881,
2,50,4455,0.011912,
1,404,5000,0.017160,
2,404,5000,0.656126,
1,50,4467,0.000000,
2,50,4467,0.014375,
1,405,5000,0.013331,
2,405,5000,0.656508,
1,50,4480,0.001915,
2,50,4480,0.016202,
1,406,5000,0.017314,
2,406,5000,0.680307,
1,50,4492,0.001856,
2,50,4492,0.016149,
1,407,5000,0.017418,
2,407,5000,0.680355,
1,50,4504,0.001980,
2,50,4504,0.012759,
1,409,5000,0.017730,
2,409,5000,0.681375,
1,50,4516,0.001850,
2,50,4516,0.016513,
1,410,5000,0.017475,
2,410,5000,0.685399,
1,50,4529,0.001878,
2,50,4529,0.016557,
1,411,5000,0.013700,
2,411,5000,0.691259,
1,50,4541,0.001911,
2,50,4541,0.016148,
1,413,5000,0.017864,
2,413,5000,0.703467,
1,50,4553,0.001875,
2,50,4553,0.016412,
1,414,5000,0.017838,
2,414,5000,0.685464,
1,50,4565,0.001866,
2,50,4565,0.016296,
1,415,5000,0.017662,
2,415,5000,0.704815,
1,50,4578,0.001877,
2,50,4578,0.016802,
1,417,5000,0.017759,
2,417,5000,0.710842,
1,50,4590,0.001894,
2,50,4590,0.016674,
1,418,5000,0.009809,
2,418,5000,0.700894,
1,50,4602,0.001845,
2,50,4602,0.016372,
1,419,5000,0.018076,
2,419,5000,0.704229,
1,50,4614,0.001909,
2,50,4614,0.016786,
1,421,5000,0.018011,
2,421,5000,0.714505,
1,50,4627,0.001945,
2,50,4627,0.016926,
1,422,5000,0.018120,
2,422,5000,0.724618,
1,50,4639,0.001899,
2,50,4639,0.016372,
1,423,5000,0.014179,
2,423,5000,0.725997,
1,50,4651,0.001942,
2,50,4651,0.016956,
1,425,5000,0.014189,
2,425,5000,0.725490,
1,50,4664,0.001914,
2,50,4664,0.017118,
1,426,5000,0.017914,
2,426,5000,0.724550,
1,50,4676,0.001934,
2,50,4676,0.017085,
1,427,5000,0.018161,
2,427,5000,0.736385,
1,50,4688,0.001953,
2,50,4688,0.017235,
1,429,5000,0.018234,
2,429,5000,0.741326,
1,50,4700,0.001907,
2,50,4700,0.013361,
1,430,5000,0.018199,
2,430,5000,0.752989,
1,50,4713,0.001967,
2,50,4713,0.017095,
1,431,5000,0.014495,
2,431,5000,0.757826,
1,50,4725,0.001959,
2,50,4725,0.016737,
1,433,5000,0.014758,
2,433,5000,0.747427,
1,50,4737,0.001960,
2,50,4737,0.017318,
1,434,5000,0.018035,
2,434,5000,0.760007,
1,50,4749,0.001983,
2,50,4749,0.016835,
1,435,5000,0.014140,
2,435,5000,0.764348,
1,50,4762,0.001953,
2,50,4762,0.016959,
1,437,5000,0.014123,
2,437,5000,0.756575,
1,50,4774,0.001928,
2,50,4774,0.017448,
1,438,5000,0.014159,
2,438,5000,0.769882,
1,50,4786,0.001987,
2,50,4786,0.017081,
1,439,5000,0.018088,
2,439,5000,0.771538,
1,50,4798,0.001998,
2,50,4798,0.017025,
1,440,5000,0.014290,
2,440,5000,0.781365,
1,50,4811,0.001989,
2,50,4811,0.017081,
1,442,5000,0.018321,
2,442,5000,0.781300,
1,50,4823,0.001991,
2,50,4823,0.017396,
1,443,5000,0.018673,
2,443,5000,0.775064,
1,50,4835,0.001950,
2,50,4835,0.017267,
1,444,5000,0.014413,
2,444,5000,0.775039,
1,50,4848,0.001987,
2,50,4848,0.017241,
1,446,5000,0.014570,
2,446,5000,0.789466,
1,50,4860,0.001969,
2,50,4860,0.017323,
1,447,5000,0.018706,
2,447,5000,0.797187,
1,50,4872,0.002015,
2,50,4872,0.017480,
1,448,5000,0.014711,
2,448,5000,0.791835,
1,50,4884,0.001995,
2,50,4884,0.017700,
1,450,5000,0.014645,
2,450,5000,0.788905,
1,50,4897,0.002003,
2,50,4897,0.017292,
1,451,5000,0.014720,
2,451,5000,0.814405,
1,50,4909,0.002064,
2,50,4909,0.017480,
1,452,5000,0.018855,
2,452,5000,0.812616,
1,50,4921,0.002037,
2,50,4921,0.017794,
1,454,5000,0.018774,
2,454,5000,0.805514,
1,50,4933,0.002031,
2,50,4933,0.017538,
1,455,5000,0.018840,
2,455,5000,0.815801,
1,50,4946,0.001994,
2,50,4946,0.017816,
1,456,5000,0.011156,
2,456,5000,0.820705,
1,50,4958,0.002084,
2,50,4958,0.017942,
1,458,5000,0.011044,
2,458,5000,0.824677,
1,50,4970,0.002056,
2,50,4970,0.017966,
1,459,5000,0.015319,
2,459,5000,0.835729,
1,50,4982,0.002057,
2,50,4982,0.017859,
1,460,5000,0.011377,
2,460,5000,0.838933,
1,50,4995,0.002052,
2,50,4995,0.018080,
1,462,5000,0.019337,
2,462,5000,0.843262,
1,50,5007,0.002068,
2,50,5007,0.018110,
1,463,5000,0.019320,
2,463,5000,0.833728,
1,50,5019,0.002063,
2,50,5019,0.018315,
1,464,5000,0.019396,
2,464,5000,0.858080,
1,50,5032,0.002137,
2,50,5032,0.017953,
1,466,5000,0.019551,
2,466,5000,0.852937,
1,50,5044,0.002089,
2,50,5044,0.018633,
1,467,5000,0.015886,
2,467,5000,0.851166,
1,50,5056,0.002097,
2,50,5056,0.018449,
1,468,5000,0.020274,
2,468,5000,0.864391,
1,50,5068,0.002099,
2,50,5068,0.014714,
1,470,5000,0.020010,
2,470,5000,0.868872,
1,50,5081,0.002117,
2,50,5081,0.018634,
1,471,5000,0.020068,
2,471,5000,0.871149,
1,50,5093,0.002105,
2,50,5093,0.018921,
1,472,5000,0.020112,
2,472,5000,0.873089,
1,50,5105,0.002147,
2,50,5105,0.018649,
1,473,5000,0.020197,
2,473,5000,0.882044,
1,50,5117,0.002111,
2,50,5117,0.019003,
1,475,5000,0.016136,
2,475,5000,0.874935,
1,50,5130,0.002129,
2,50,5130,0.019029,
1,476,5000,0.020323,
2,476,5000,0.884497,
1,50,5142,0.002107,
2,50,5142,0.019174,
1,477,5000,0.020398,
2,477,5000,0.896024,
1,50,5154,0.000000,
2,50,5154,0.017099,
1,479,5000,0.012368,
2,479,5000,0.875316,
1,50,5166,0.002154,
2,50,5166,0.018916,
1,480,5000,0.016405,
2,480,5000,0.897317,
1,50,5179,0.002145,
2,50,5179,0.019119,
1,481,5000,0.016462,
2,481,5000,0.900626,
1,50,5191,0.002125,
2,50,5191,0.019296,
1,483,5000,0.020585,
2,483,5000,0.902928,
1,50,5203,0.002132,
2,50,5203,0.015017,
1,484,5000,0.012654,
2,484,5000,0.894094,
1,50,5216,0.002172,
2,50,5216,0.019327,
1,485,5000,0.016429,
2,485,5000,0.908420,
1,50,5228,0.002145,
2,50,5228,0.019391,
1,487,5000,0.016750,
2,487,5000,0.918457,
1,50,5240,0.002168,
2,50,5240,0.019458,
1,488,5000,0.020691,
2,488,5000,0.918128,
1,50,5252,0.002175,
2,50,5252,0.019266,
1,489,5000,0.012913,
2,489,5000,0.925816,
1,50,5265,0.002155,
2,50,5265,0.019594,
1,491,5000,0.020720,
2,491,5000,0.930349,
1,50,5277,0.002128,
2,50,5277,0.019513,
1,492,5000,0.020849,
2,492,5000,0.927445,
1,50,5289,0.002177,
2,50,5289,0.019749,
1,493,5000,0.016980,
2,493,5000,0.940926,
1,50,5301,0.002172,
2,50,5301,0.015829,
1,495,5000,0.016985,
2,495,5000,0.950220,
1,50,5314,0.002199,
2,50,5314,0.019916,
1,496,5000,0.020999,
2,496,5000,0.957883,
1,50,5326,0.002200,
2,50,5326,0.019607,
1,497,5000,0.017119,
2,497,5000,0.948922,
1,50,5338,0.002189,
2,50,5338,0.019321,
1,499,5000,0.013453,
2,499,5000,0.952915,
1,50,5350,0.002212,
2,50,5350,0.019685,
1,500,5000,0.021287,
2,500,5000,0.954742,
1,50,5363,0.002221,
2,50,5363,0.020376,
1,501,5000,0.017652,
2,501,5000,0.965216,
1,50,5375,0.002258,
2,50,5375,0.019807,
1,503,5000,0.021663,
2,503,5000,0.976246,
1,50,5387,0.002225,
2,50,5387,0.020053,
1,504,5000,0.021681,
2,504,5000,0.970240,
1,50,5400,0.002255,
2,50,5400,0.020032,
1,505,5000,0.021649,
2,505,5000,0.985852,
1,50,5412,0.002248,
2,50,5412,0.019853,
1,506,5000,0.021623,
2,506,5000,0.978780,
1,50,5424,0.000000,
2,50,5424,0.018446,
1,508,5000,0.017815,
2,508,5000,0.981258,
1,50,5436,0.002240,
2,50,5436,0.020541,
1,509,5000,0.021976,
2,509,5000,0.990251,
1,50,5449,0.002283,
2,50,5449,0.020178,
1,510,5000,0.021730,
2,510,5000,0.999305,
1,50,5461,0.002289,
2,50,5461,0.015709,
1,512,5000,0.021528,
2,512,5000,0.993992,
1,50,5473,0.002300,
2,50,5473,0.019839,
1,513,5000,0.017774,
2,513,5000,1.003810,
1,50,5485,0.002289,
2,50,5485,0.020188,
1,514,5000,0.017713,
2,514,5000,1.001447,
1,50,5498,0.000000,
2,50,5498,0.018446,
1,516,5000,0.021781,
2,516,5000,1.023406,
1,50,5510,0.002294,
2,50,5510,0.019894,
1,517,5000,0.021967,
2,517,5000,1.024078,
1,50,5522,0.002316,
2,50,5522,0.020163,
1,518,5000,0.021807,
2,518,5000,1.020106,
1,50,5534,0.002283,
2,50,5534,0.019974,
1,520,5000,0.021942,
2,520,5000,1.038282,
1,50,5547,0.002316,
2,50,5547,0.020515,
1,521,5000,0.022059,
2,521,5000,1.041515,
1,50,5559,0.002344,
2,50,5559,0.020252,
1,522,5000,0.021806,
2,522,5000,1.031411,
1,50,5571,0.002351,
2,50,5571,0.016754,
1,524,5000,0.022193,
2,524,5000,1.046170,
1,50,5584,0.002344,
2,50,5584,0.020640,
1,525,5000,0.022408,
2,525,5000,1.053939,
1,50,5596,0.002310,
2,50,5596,0.020724,
1,526,5000,0.022362,
2,526,5000,1.052684,
1,50,5608,0.002308,
2,50,5608,0.020446,
1,528,5000,0.022438,
2,528,5000,1.062986,
1,50,5620,0.002368,
2,50,5620,0.020645,
1,529,5000,0.022357,
2,529,5000,1.065271,
1,50,5633,0.002350,
2,50,5633,0.020792,
1,530,5000,0.014459,
2,530,5000,1.067453,
1,50,5645,0.000000,
2,50,5645,0.019068,
1,532,5000,0.014536,
2,532,5000,1.080353,
1,50,5657,0.002370,
2,50,5657,0.020985,
1,533,5000,0.022635,
2,533,5000,1.074898,
1,50,5669,0.002387,
2,50,5669,0.020798,
1,534,5000,0.022528,
2,534,5000,1.083206,
1,50,5682,0.002385,
2,50,5682,0.020931,
1,536,5000,0.022664,
2,536,5000,1.102187,
1,50,5694,0.002345,
2,50,5694,0.021013,
1,537,5000,0.022812,
2,537,5000,1.096981,
1,50,5706,0.002371,
2,50,5706,0.021324,
1,538,5000,0.022857,
2,538,5000,1.093586,
1,50,5718,0.002363,
2,50,5718,0.021337,
1,539,5000,0.022570,
2,539,5000,1.103727,
1,50,5731,0.000000,
2,50,5731,0.019440,
1,541,5000,0.022864,
2,541,5000,1.112829,
1,50,5743,0.002414,
2,50,5743,0.021229,
1,542,5000,0.018712,
2,542,5000,1.112783,
1,50,5755,0.002454,
2,50,5755,0.021388,
1,543,5000,0.019070,
2,543,5000,1.109900,
1,50,5768,0.000000,
2,50,5768,0.015547,
1,545,5000,0.019143,
2,545,5000,1.127812,
1,50,5780,0.002489,
2,50,5780,0.021628,
1,546,5000,0.014882,
2,546,5000,1.123587,
1,50,5792,0.000000,
2,50,5792,0.019780,
1,547,5000,0.018941,
2,547,5000,1.132322,
1,50,5804,0.002417,
2,50,5804,0.021469,
1,549,5000,0.019136,
2,549,5000,1.132199,
1,50,5817,0.002452,
2,50,5817,0.021482,
1,550,5000,0.023210,
2,550,5000,1.134210,
1,50,5829,0.000000,
2,50,5829,0.020147,
1,551,5000,0.023343,
2,551,5000,1.136058,
1,50,5841,0.002435,
2,50,5841,0.021535,
1,553,5000,0.019450,
2,553,5000,1.131357,
1,50,5853,0.000000,
2,50,5853,0.020062,
1,554,5000,0.023416,
2,554,5000,1.141919,
1,50,5866,0.002435,
2,50,5866,0.021599,
1,555,5000,0.023488,
2,555,5000,1.158880,
1,50,5878,0.002474,
2,50,5878,0.021844,
1,557,5000,0.019199,
2,557,5000,1.158227,
1,50,5890,0.002431,
2,50,5890,0.021716,
1,558,5000,0.023443,
2,558,5000,1.168423,
1,50,5902,0.002489,
2,50,5902,0.021530,
1,559,5000,0.019459,
2,559,5000,1.164256,
1,50,5915,0.002459,
2,50,5915,0.021701,
1,561,5000,0.019731,
2,561,5000,1.171765,
1,50,5927,0.002447,
2,50,5927,0.017777,
1,562,5000,0.023771,
2,562,5000,1.168977,
1,50,5939,0.002490,
2,50,5939,0.021930,
1,563,5000,0.019845,
2,563,5000,1.182105,
1,50,5952,0.002459,
2,50,5952,0.022083,
1,565,5000,0.023975,
2,565,5000,1.208181,
1,50,5964,0.002564,
2,50,5964,0.022573,
1,566,5000,0.024410,
2,566,5000,1.193041,
1,50,5976,0.002506,
2,50,5976,0.018718,
1,567,5000,0.020282,
2,567,5000,1.205772,
1,50,5988,0.002492,
2,50,5988,0.022514,
1,569,5000,0.024385,
2,569,5000,1.209855,
1,50,6001,0.002577,
2,50,6001,0.022234,
1,570,5000,0.024402,
2,570,5000,1.228494,
1,50,6013,0.002506,
2,50,6013,0.022633,
1,571,5000,0.020337,
2,571,5000,1.225710,
1,50,6025,0.002557,
2,50,6025,0.022468,
1,572,5000,0.024264,
2,572,5000,1.220456,
1,50,6037,0.000000,
2,50,6037,0.021286,
1,574,5000,0.024396,
2,574,5000,1.239217,
1,50,6050,0.002505,
2,50,6050,0.022638,
1,575,5000,0.020422,
2,575,5000,1.229761,
1,50,6062,0.002524,
2,50,6062,0.022382,
1,576,5000,0.016507,
2,576,5000,1.246833,
1,50,6074,0.002681,
2,50,6074,0.022925,
1,578,5000,0.020574,
2,578,5000,1.250221,
1,50,6086,0.002539,
2,50,6086,0.022702,
1,579,5000,0.024570,
2,579,5000,1.247216,
1,50,6099,0.002621,
2,50,6099,0.022629,
1,580,5000,0.020633,
2,580,5000,1.247614,
1,50,6111,0.002586,
2,50,6111,0.022647,
1,582,5000,0.020682,
2,582,5000,1.271005,
1,50,6123,0.002552,
2,50,6123,0.022580,
1,583,5000,0.020798,
2,583,5000,1.270961,
1,50,6136,0.002549,
2,50,6136,0.022823,
1,584,5000,0.024751,
2,584,5000,1.257530,
1,50,6148,0.002636,
2,50,6148,0.022929,
1,586,5000,0.024856,
2,586,5000,1.272482,
1,50,6160,0.002567,
2,50,6160,0.022718,
1,587,5000,0.020879,
2,587,5000,1.277536,
1,50,6172,0.002570,
2,50,6172,0.023042,
1,588,5000,0.020987,
2,588,5000,1.269444,
1,50,6185,0.002631,
2,50,6185,0.022768,
1,590,5000,0.024848,
2,590,5000,1.281526,
1,50,6197,0.002583,
2,50,6197,0.019035,
1,591,5000,0.021088,
2,591,5000,1.292654,
1,50,6209,0.002590,
2,50,6209,0.022922,
1,592,5000,0.016949,
2,592,5000,1.297880,
1,50,6221,0.002584,
2,50,6221,0.023019,
1,594,5000,0.021196,
2,594,5000,1.284014,
1,50,6234,0.002574,
2,50,6234,0.023278,
1,595,5000,0.017144,
2,595,5000,1.311267,
1,50,6246,0.002669,
2,50,6246,0.023258,
1,596,5000,0.021117,
2,596,5000,1.307137,
1,50,6258,0.002593,
2,50,6258,0.023258,
1,598,5000,0.025440,
2,598,5000,1.318541,
1,50,6270,0.002628,
2,50,6270,0.023242,
1,599,5000,0.025418,
2,599,5000,1.309154,
1,50,6283,0.002614,
2,50,6283,0.023284,
1,600,5000,0.025212,
2,600,5000,1.313537,
1,50,6295,0.002630,
2,50,6295,0.023485,
1,602,5000,0.021506,
2,602,5000,1.325691,
1,50,6307,0.002672,
2,50,6307,0.023442,
1,603,5000,0.017660,
2,603,5000,1.341099,
1,50,6320,0.002654,
2,50,6320,0.023758,
1,604,5000,0.025533,
2,604,5000,1.348080,
1,50,6332,0.002629,
2,50,6332,0.023704,
1,605,5000,0.021852,
2,605,5000,1.347896,
1,50,6344,0.000000,
2,50,6344,0.022833,
1,607,5000,0.021818,
2,607,5000,1.351816,
1,50,6356,0.002657,
2,50,6356,0.023618,
1,608,5000,0.025830,
2,608,5000,1.354952,
1,50,6369,0.000000,
2,50,6369,0.022417,
1,609,5000,0.021896,
2,609,5000,1.349369,
1,50,6381,0.002708,
2,50,6381,0.023819,
1,611,5000,0.025801,
2,611,5000,1.380237,
1,50,6393,0.002679,
2,50,6393,0.023805,
1,612,5000,0.025952,
2,612,5000,1.364225,
1,50,6405,0.002665,
2,50,6405,0.023779,
1,613,5000,0.022031,
2,613,5000,1.372983,
1,50,6418,0.002689,
2,50,6418,0.024196,
1,615,5000,0.022111,
2,615,5000,1.393119,
1,50,6430,0.002755,
2,50,6430,0.019893,
1,616,5000,0.026267,
2,616,5000,1.392530,
1,50,6442,0.002706,
2,50,6442,0.024240,
1,617,5000,0.026332,
2,617,5000,1.393116,
1,50,6454,0.002677,
2,50,6454,0.024200,
1,619,5000,0.026469,
2,619,5000,1.399388,
1,50,6467,0.002700,
2,50,6467,0.024187,
1,620,5000,0.022462,
2,620,5000,1.409953,
1,50,6479,0.002745,
2,50,6479,0.024323,
1,621,5000,0.022522,
2,621,5000,1.407668,
1,50,6491,0.002767,
2,50,6491,0.024405,
1,623,5000,0.022632,
2,623,5000,1.419942,
1,50,6504,0.002694,
2,50,6504,0.024329,
1,624,5000,0.026780,
2,624,5000,1.433386,
1,50,6516,0.002729,
2,50,6516,0.020836,
1,625,5000,0.026720,
2,625,5000,1.429345,
1,50,6528,0.002728,
2,50,6528,0.024360,
1,627,5000,0.026666,
2,627,5000,1.428165,
1,50,6540,0.002757,
2,50,6540,0.024511,
1,628,5000,0.027228,
2,628,5000,1.428983,
1,50,6553,0.002795,
2,50,6553,0.024286,
1,629,5000,0.010812,
2,629,5000,1.427994,
1,50,6565,0.002811,
2,50,6565,0.024594,
1,631,5000,0.023118,
2,631,5000,1.438923,
1,50,6577,0.002722,
2,50,6577,0.024555,
1,632,5000,0.018884,
2,632,5000,1.454811,
1,50,6589,0.002800,
2,50,6589,0.024617,
1,633,5000,0.022765,
2,633,5000,1.448403,
1,50,6602,0.002793,
2,50,6602,0.024649,
1,635,5000,0.026798,
2,635,5000,1.478474,
1,50,6614,0.002742,
2,50,6614,0.024792,
1,636,5000,0.019578,
2,636,5000,1.466160,
1,50,6626,0.000000,
2,50,6626,0.023767,
1,637,5000,0.027058,
2,637,5000,1.473413,
1,50,6638,0.000000,
2,50,6638,0.023755,
1,638,5000,0.024514,
2,638,5000,1.480577,
1,50,6651,0.002788,
2,50,6651,0.025122,
1,640,5000,0.019346,
2,640,5000,1.480146,
1,50,6663,0.002888,
2,50,6663,0.021256,
1,641,5000,0.023670,
2,641,5000,1.496771,
1,50,6675,0.002776,
2,50,6675,0.025286,
1,642,5000,0.019534,
2,642,5000,1.501277,
1,50,6688,0.002879,
2,50,6688,0.025316,
1,644,5000,0.027854,
2,644,5000,1.502907,
1,50,6700,0.002837,
2,50,6700,0.025242,
1,645,5000,0.028293,
2,645,5000,1.521524,
1,50,6712,0.002895,
2,50,6712,0.025304,
1,646,5000,0.020081,
2,646,5000,1.512048,
1,50,6724,0.002822,
2,50,6724,0.025436,
1,648,5000,0.023672,
2,648,5000,1.516760,
1,50,6737,0.005311,
2,50,6737,0.044256,
1,649,5000,0.025435,
2,649,5000,1.536209,
1,50,6749,0.002856,
2,50,6749,0.025314,
1,650,5000,0.028522,
2,650,5000,1.537220,
1,50,6761,0.002809,
2,50,6761,0.025684,
1,652,5000,0.027806,
2,652,5000,1.548775,
1,50,6773,0.002787,
2,50,6773,0.025575,
1,653,5000,0.039469,
2,653,5000,1.534815,
1,50,6786,0.002912,
2,50,6786,0.025798,
1,654,5000,0.027873,
2,654,5000,1.557069,
1,50,6798,0.002824,
2,50,6798,0.025330,
1,656,5000,0.023896,
2,656,5000,1.571863,
1,50,6810,0.002900,
2,50,6810,0.025928,
1,657,5000,0.028096,
2,657,5000,1.570912,
1,50,6822,0.002895,
2,50,6822,0.025708,
1,658,5000,0.020434,
2,658,5000,1.568466,
1,50,6835,0.002815,
2,50,6835,0.026428,
1,660,5000,0.028656,
2,660,5000,1.596412,
1,50,6847,0.002938,
2,50,6847,0.026156,
1,661,5000,0.020297,
2,661,5000,1.586964,
1,50,6859,0.000000,
2,50,6859,0.025785,
1,662,5000,0.025027,
2,662,5000,1.594311,
1,50,6872,0.002927,
2,50,6872,0.021688,
1,664,5000,0.038285,
2,664,5000,1.610755,
1,50,6884,0.000000,
2,50,6884,0.025155,
1,665,5000,0.027123,
2,665,5000,1.611700,
1,50,6896,0.007523,
2,50,6896,0.026585,
1,666,5000,0.032801,
2,666,5000,1.671069,
